frame,global_plan_position_x,global_plan_position_y,global_plan_orientation_z,global_plan_orientation_w,ID
map,0.572767,-11.565443,0.733440,0.679754,43
map,0.570737,-11.540526,0.739577,0.673072,43
map,0.568070,-11.515669,0.747516,0.664244,43
map,0.564859,-11.490876,0.756759,0.653694,43
map,0.560803,-11.466208,0.767297,0.641292,43
map,0.555986,-11.441675,0.778972,0.627058,43
map,0.550126,-11.417372,0.791498,0.611172,43
map,0.543342,-11.393311,0.804752,0.593612,43
map,0.535368,-11.369616,0.818297,0.574795,43
map,0.526384,-11.346286,0.826318,0.563204,43
map,0.517088,-11.323078,0.828155,0.560499,43
map,0.507800,-11.299868,0.829228,0.558910,43
map,0.498326,-11.276732,0.831374,0.555714,43
map,0.488682,-11.253667,0.832841,0.553513,43
map,0.478964,-11.230634,0.833999,0.551767,43
map,0.469127,-11.207650,0.834677,0.550740,43
map,0.459295,-11.184665,0.835214,0.549925,43
map,0.449369,-11.161720,0.835908,0.548870,43
map,0.439421,-11.138784,0.836684,0.547686,43
map,0.429365,-11.115896,0.837369,0.546638,43
